Year_Month,Line,Card_type,Trip
2016-07,Blue Mountains Line,Adult,537669
2016-07,Blue Mountains Line,Child/Youth,36387
2016-07,Blue Mountains Line,Concession,60238
2016-07,Blue Mountains Line,Employee,10085
2016-07,Blue Mountains Line,Free Travel,919
2016-07,Blue Mountains Line,School Student,14260
2016-07,Blue Mountains Line,Senior/Pensioner,99285
2016-07,Blue Mountains Line,Sgl Trip Rail Adult,1341
2016-07,Blue Mountains Line,Sgl Trip Rail Child/Youth,622
2016-07,Central Coast Newcastle Line,Adult,1073971
2016-07,Central Coast Newcastle Line,Child/Youth,75665
2016-07,Central Coast Newcastle Line,Concession,120568
2016-07,Central Coast Newcastle Line,Employee,21733
2016-07,Central Coast Newcastle Line,Free Travel,1922
2016-07,Central Coast Newcastle Line,School Student,64031
2016-07,Central Coast Newcastle Line,Senior/Pensioner,205808
2016-07,Central Coast Newcastle Line,Sgl Trip Rail Adult,2030
2016-07,Central Coast Newcastle Line,Sgl Trip Rail Child/Youth,659
2016-07,Hunter Line,Adult,35095
2016-07,Hunter Line,Child/Youth,3417
2016-07,Hunter Line,Concession,9780
2016-07,Hunter Line,Employee,660
2016-07,Hunter Line,Free Travel,103
2016-07,Hunter Line,School Student,7546
2016-07,Hunter Line,Senior/Pensioner,16455
2016-07,Hunter Line,Sgl Trip Rail Adult,335
2016-07,Hunter Line,Sgl Trip Rail Child/Youth,177
2016-07,South Coast Line,Adult,534213
2016-07,South Coast Line,Child/Youth,34743
2016-07,South Coast Line,Concession,65951
2016-07,South Coast Line,Employee,6852
2016-07,South Coast Line,Free Travel,696
2016-07,South Coast Line,School Student,13036
2016-07,South Coast Line,Senior/Pensioner,92599
2016-07,South Coast Line,Sgl Trip Rail Adult,1514
2016-07,South Coast Line,Sgl Trip Rail Child/Youth,428
2016-07,Southern Highlands Line,Adult,44136
2016-07,Southern Highlands Line,Child/Youth,5820
2016-07,Southern Highlands Line,Concession,8861
2016-07,Southern Highlands Line,Employee,883
2016-07,Southern Highlands Line,Free Travel,180
2016-07,Southern Highlands Line,School Student,776
2016-07,Southern Highlands Line,Senior/Pensioner,16183
2016-07,Southern Highlands Line,Sgl Trip Rail Adult,89
2016-07,Southern Highlands Line,Sgl Trip Rail Child/Youth,41
2016-07,"T1 North Shore, Northern and Western Line",Adult,8575135
2016-07,"T1 North Shore, Northern and Western Line",Child/Youth,432083
2016-07,"T1 North Shore, Northern and Western Line",Concession,790206
2016-07,"T1 North Shore, Northern and Western Line",Employee,101255
2016-07,"T1 North Shore, Northern and Western Line",Free Travel,9429
2016-07,"T1 North Shore, Northern and Western Line",School Student,217702
2016-07,"T1 North Shore, Northern and Western Line",Senior/Pensioner,880165
2016-07,"T1 North Shore, Northern and Western Line",Sgl Trip Rail Adult,20587
2016-07,"T1 North Shore, Northern and Western Line",Sgl Trip Rail Child/Youth,7516
2016-07,"T2 Airport, Inner West and South Line",Adult,5266404
2016-07,"T2 Airport, Inner West and South Line",Child/Youth,237705
2016-07,"T2 Airport, Inner West and South Line",Concession,527290
2016-07,"T2 Airport, Inner West and South Line",Employee,63235
2016-07,"T2 Airport, Inner West and South Line",Free Travel,5175
2016-07,"T2 Airport, Inner West and South Line",School Student,83558
2016-07,"T2 Airport, Inner West and South Line",Senior/Pensioner,544665
2016-07,"T2 Airport, Inner West and South Line",Sgl Trip Rail Adult,35335
2016-07,"T2 Airport, Inner West and South Line",Sgl Trip Rail Child/Youth,5815
2016-07,T3 Bankstown Line,Adult,1615473
2016-07,T3 Bankstown Line,Child/Youth,83619
2016-07,T3 Bankstown Line,Concession,174271
2016-07,T3 Bankstown Line,Employee,13196
2016-07,T3 Bankstown Line,Free Travel,1087
